blockNumber,amount0,amount1
19813977,"6668092089","2164050237410673229"
19814346,"53203366","17292687517737556"
19821411,"7764969847580","2573589613104492970370"
19826425,"142814446004","47522387839282246291"
19826582,"194473617","64749227117635177"
19832783,"14584829","4884585668328277"
19834781,"13234324","4383449670669034"
19839018,"64933825","21405999364898736"
19843431,"7764969847580","2662337358216298113639"
19845853,"42123811427","14473985207036347572"
19853197,"9999999999","3436924803353232140"
19857208,"449419777","153546284754529015"
19857399,"14359824336","4901307126397224337"
19857636,"500939150","170753394125980506"
19859876,"18708481","6305148036566823"
19864460,"7764969847580","2636951097265511958445"
19873521,"9999999999","3443910604049475147"
19873679,"8698318","2994920153609621"
19881795,"87273905","29017843153775828"
19885485,"9999999999","3411029722513763182"
19893533,"7764969847580","2511326881365815870276"
19893973,"206622141","66610401251668898"
19896202,"10867666","3470763611375563"
19902605,"1629829918","523657711055084104"
19902758,"7764969847580","2494713819324879864501"
19906270,"640040830","208602523114287333"
19914823,"72959484","19680987798060369"
19916971,"376700046","102741851267692412"
19921408,"7764969847580","2041215151652843038371"
19924370,"1058744015","281129096208785042"
19927561,"105675554","28298421787058071"
19930245,"9999999999","2648888395210047934"
19930389,"65093604","17193754261274258"
19938437,"97755146","26630722705410925"
19943108,"7764969847580","2082617500145010292409"
19944554,"490821470135","130686187328340062787"
19950264,"112662224","30020024475930458"
19951312,"7764969847580","2076869682608976998675"
19953611,"11911069004","3136488220696547742"
19954595,"82978974","21817213076834293"
19964711,"7764969847580","1999811951691869891543"
19978698,"7764969847580","2056887973362570829161"
19980674,"12595497","3337906728326123"
19986836,"80049607","21294667044162282"
19992989,"7764969847580","2058425562581217199963"
20006024,"836420210","222007077025303275"
20007492,"7764969847580","2059151671191067088430"
20021935,"7764969847580","2033181144865652180361"
20024504,"761587","199937268363951"
20036617,"7764969847580","2038285441588699568793"
20039787,"96074187","25115197419093824"
20040646,"181499930","47574067099222275"
20043237,"2323813814","630406900035881987"
20043381,"57260409642","15536792520532153889"
20050465,"7764969847580","2111637274354307408668"
20066249,"7764969847580","2188286913114593732966"
20067204,"9999999999","2831406952246345254"
20077498,"100122120","27844123881131160"
20084084,"801790698","232208930364883341"
20086238,"7764969847580","2238499390121126669635"
20095226,"203191248","57757235500789716"
20101224,"7764969847580","2180332202636346721346"
20103297,"6261735","1761121541107834"
20106716,"302384574","83984503715191679"
20108916,"2693375","750252360772516"
20114152,"9337797685","2659957132117881790"
20116713,"7764969847580","2249126477818559219470"
20117343,"59089066","17155639128336194"
20120716,"919460973","269926610983332311"
20126626,"171112252","48577337272830219"
20136067,"7764969847580","2205765137678175311604"
20136306,"52315186","14866989711152255"
20137498,"14170018","4041111086737987"
20140870,"20124090433","5739263787180716417"
20148480,"27837107023","7941802412652223701"
20150608,"7764969847580","2220437455438330613637"
20152380,"8706709433","2479045248374983994"
20155624,"509191961","146713416978772002"
20158688,"68609323","20088348033632842"
20163791,"229005823","69344661859693015"
20165376,"9999999999","2985842267344520135"
20167828,"226832091","67604503715095565"
20170293,"100008647","29455910060768839"
20173188,"492926821","144846439466569464"
20174034,"19986901","5908001035886079"
20174594,"9999999999","2943349812684666150"
20182797,"100021","29409209456229"
20183463,"9723307","2820389769187991"
20186452,"7764969847580","2252464476006464423411"
20186752,"39774882","11555377198916348"
20187096,"5262596","1515227650695272"
20187834,"966085852","280234508675492881"
20188612,"2658437791","770413819865069101"
20193956,"9999999999","2961267819802384186"
20200466,"9999999999","2963151991484141511"
20207903,"7764969847580","2254791559908531103864"
20208791,"2101170608","599704217275998909"
20215030,"7764969847580","2259237567243710501431"
20215740,"78348136341","22801254096450766587"
20218596,"17258375","5015563561428646"
20222229,"7764969847580","2271876029341702594990"
20224432,"3358967","1000006108391806"
20229388,"7764969847580","2356345921087413081023"
20229530,"292060412","88615471719857758"
20232308,"1892518","599039001175084"
20240251,"7764969847580","2638750664660403154444"
20245445,"9999999999","3366532012532078743"
20250717,"59089283","19253411134361203"
20250718,"30746","10018477023451"
20250836,"7764969847580","2530081425198095163074"
20256247,"2245099249","751653954665242610"
20256856,"355883568","119136626882323507"
20257882,"7764969847580","2641730201615566765979"
20260936,"13543691","4421461189632825"
20261518,"228300757","75214884351495918"
20265161,"7764969847580","2566374222082524518972"
20272343,"7764969847580","2533380065800698568863"
20279780,"7764969847580","2509546059487330275525"
20280333,"5748356","1851292688297687"
20280361,"25016895","8056861038330543"
20286788,"7764969847580","2509032551550174254891"
20290581,"1046409406","340881313603672509"
20293903,"7764969847580","2483884177498387853376"
20298921,"9999999999","3166283787381931642"
20304145,"9999999999","3123691347414230395"
20309880,"33346","10001705833358"
20311543,"7764969847580","2323602942982490559692"
20322343,"7764969847580","2258636343357059786877"
20324097,"105530570","30180618293839368"
20325597,"3740328257","1070688936608896798"
20329696,"390069961","114835355602141888"
20336575,"7764969847580","2263872836616900544136"
20341594,"18965138216","5482798229637632726"
20343991,"7764969847580","2210817945813412922252"
20344733,"611622382","175142983451610081"
20347242,"6114759","1751609770904812"
20351283,"7764969847580","2205837763947007826666"
20353887,"9145267192","2619688637444396241"
20358869,"7764969847580","2198341537361976715459"
20362227,"134233541","38366189518070072"
20365404,"7764969847580","2259606676575329060325"
20372654,"7764969847580","2229080611044684474494"
20379784,"7764969847580","2335102554599724533720"
20379788,"2636566360","792875306040773275"
20381950,"9179689","2891193724734921"
20382666,"2266488955","714584052737052713"
20385243,"61545635","19465010166814424"
20386964,"7764969847580","2448749246872526760223"
20387116,"15894718784","4999997959337237347"
20388264,"19426479","5991436347357413"
20394114,"7764969847580","2367957480815717718185"
20394536,"3914841","1200517423486253"
20395793,"5989539","1843139739311191"
20401281,"7764969847580","2381770454644632594880"
20402775,"1169651","360932397276165"
20403766,"9999999999","3103806774037119199"
20405030,"1618955076","496575589997136911"
20408588,"7764969847580","2365297041091600141991"
20410279,"9444631","2813117962593900"
20415624,"7764969847580","2337152445176369547206"
20417054,"99874556","30122189808453954"
20422781,"7764969847580","2368844652209974627187"
20424492,"20013829","6117455179130745"
20429952,"7764969847580","2403650359455385152418"
20437564,"7764969847580","2443498030674431015394"
20442442,"147230854","48565988144665264"
20444393,"7764969847580","2596752630977554790410"
20451428,"7764969847580","2671507893611134179947"
20452305,"5381983","1842338845979290"
20458635,"7764969847580","2896656178789049880935"
20464134,"44635366","18375518269237715"
20465737,"7764969847580","3180775820754839612404"
20467354,"210511679391","84281623848703205756"
20472903,"7764969847580","3163722542355549794798"
20477176,"10017218","4094050720543189"
20480231,"7764969847580","3305838574086758008505"
20486856,"8389826757","3184196041984614853"
20487293,"7764969847580","2894094213419413525083"
20490094,"10508558","3937264147739666"
20492518,"9731422","3745381304590413"
20494464,"7764969847580","2993636057317984653202"
20501596,"7764969847580","2980866302317030608330"
20505008,"6110761","2295971704379685"
20505282,"18803146","7089430066590478"
20508816,"7764969847580","3033044153255046323166"
20511518,"2046667925","797156687190890085"
20515975,"7764969847580","2844459849840664797856"
20517716,"988574621","372061756362752234"
20519582,"77082760","29162110724949593"
20523179,"7764969847580","2873639033686156280270"
20530287,"7764969847580","2911727586459929382893"
20531103,"3658119","1377701039429565"
20534558,"241698591","90824855225520966"
20537437,"7764969847580","3015159677204084721284"
20540045,"8180780","3123304587820749"
20541303,"4951415","1926514598367334"
20544608,"7764969847580","2994477584496256385623"
20546823,"1095245","421378396267594"
20550574,"4969762","1901046127159270"
20551779,"7764969847580","2977914604565024966307"
20552528,"5812901","2224726787973158"
20556863,"265926","99583367280569"
20559048,"7764969847580","2964929895695628480073"
20561365,"24966605","9525487961888493"
20561578,"8799414","3358892951360581"
20562001,"23424605","9087042696861507"
20562060,"7701756","2987632421244620"
20562585,"7174361","2774595611401341"
20562591,"3922118","1516727126178481"
20562964,"14974297","5758328769801983"
20562974,"10781752","4145897973649642"
20563297,"4288271","1664361472086929"
20563357,"4509921","1750824026870189"
20566263,"7764969847580","2933301976591311521800"
20568526,"10003","3743045390096"
20571402,"21102077","8205110769439313"
20573456,"7764969847580","3009302152487612703131"
20577598,"522988259","201398910724301766"
20578591,"1000194","381381819890077"
20579987,"13933769","5277761750880321"
20580829,"7764969847580","2950373009740862685390"
20581438,"8853079","3401339161280923"
20588324,"11769971985941","4457557578592392166254"
20594820,"12429761267875","4496420833051270667287"
20599448,"2773216410","1005919509479319638"
20600646,"66438142","23784616276062076"
20601321,"11874044703270","4319872136282707026540"
20607220,"7764969847580","2800885503441834849979"
20611134,"11841729067465","4318005974115049638185"
20615046,"11474829013725","4273222668523289014630"
20616193,"5622046","2095162198516743"
20616259,"5621793","2095261865510201"
20616288,"5621703","2095046366914472"
20616321,"5566175","2074071003093305"
20616332,"5566257","2074086954189369"
20616520,"5565101","2074258107771986"
20616705,"5568613","2072916397782402"
20616738,"5568604","2072939582753021"
20616754,"5568630","2072949394098861"
20616769,"5568641","2072945317485245"
20616854,"5568540","2072956563304696"
20616866,"5568546","2072954047970304"
20616871,"5568871","2073074992605977"
20616883,"5568961","2073099362257046"
20617055,"5031119","1876453947323647"
20618951,"11141711560145","4150581223929193674751"
20619093,"49371582","18409229777512634"
20621548,"104737323","40609600940818836"
20623150,"11690796652149","4754797300135782803889"
20628804,"11243861988927","4477983622908618771411"
20630411,"74109421","29357407649124590"
20632480,"7764969847580","3043152787359144631711"
20636365,"242138847","95840993107719300"
20636408,"11312359134860","4465715651246563084929"
20639165,"3247731","1289078437438199"
20639671,"12139424385319","4827427925760024049990"
20642947,"12140913588657","4933948648141548643266"
20646027,"7764969847580","3076400604773127838887"
20649094,"7764969847580","3080491032957519582182"
20652061,"7764969847580","3085616325864846004524"
20654999,"7764969847580","3123647941736823476860"
20656976,"12094987237922","4889552727419584389672"
20658445,"12127801711874","4889184348868476279463"
20659534,"12188425101707","4999760962852742240654"
20660676,"12233456796161","5009806836678203579112"
20665831,"12019588229361","4724826496593386134188"
20667337,"12080358734680","4774044341583615904435"
20671435,"11751956031127","4809283101830198816365"
20671955,"1670767932","682142682512599560"
20673062,"12202278166721","4959478416196722234902"
20674649,"11847502021870","4989737088601014442879"
20679265,"127823720","52207441046433884"
20680543,"12667509863041","5144582124374907694452"
20683485,"2059876609","859640355445827867"
20686235,"12518511435103","5239786420835854891435"
20688274,"12378168595061","5216572418371736605078"
20688769,"1627882","677948240733341"
20694344,"11624591001590","5266315359376208575750"
20696425,"12142657669142","5429054813119186488478"
20701825,"7764969847580","3423799560345443038487"
20705378,"7764969847580","3373739688339377888834"
20705994,"8962411","3923984207006213"
20707281,"3005075762","1333153127578419961"
20707895,"12541671986980","5508202515562289196102"
20709541,"12554196205852","5445620404385535413208"
20711849,"24305802","10484293260065852"
20713148,"451727648","195736387581361697"
20713970,"73407527","32141896410986622"
20714377,"6985028391","2992120339892154584"
20715578,"12675559983431","5404029311446465764781"
20719347,"12744805488813","5418748107119054360828"
20723584,"13039432525449","5452322775892828085863"
20726575,"12852487002834","5520871248640615299992"
20730421,"12787636631800","5460595255680700002213"
20730961,"801002905","340631550399548463"
20734749,"12867113112626","5483932565402798871712"
20738560,"12893664945331","5463545596281076787557"
20742532,"3237993","1366380552966437"
20743584,"12816362583956","5291377214507826307536"
20752510,"7764969847580","3212753949514041509878"
20756083,"13388935538221","5555946996039612521036"
20756980,"186398257","77403003213940448"
20757513,"48400705","20295627389344076"
20758793,"12907572108856","5506153498650069940050"
20761120,"12527918343934","5473673714999489987489"
20765309,"1064465385","464918280343345760"
20768511,"7764969847580","3382913788530214046843"
20780724,"7764969847580","3312104175516199961468"
20786126,"163321211","66277847214634867"
20788805,"383800867691","156436561358522736129"
20795277,"32741073","12819619201547642"
20798354,"13439578441086","5265966091845245055632"
20818089,"7764969847580","2959100053633861240716"
20827365,"82421018","31415743850912558"
20838503,"7764969847580","2947486585929221453287"
20843850,"663470320","246044293788463283"
20849774,"68831786939","25806548325566469817"
20852167,"7764969847580","2908237507074597498672"
20867031,"12673402111077","4876173404541331596250"
20868811,"474269577","179631110349427899"
20875853,"12461804065972","5024204129802924862651"
20877793,"1023592642103","417700234903908469478"
20882691,"13813986506806","5767122231732743817402"
20888227,"13461677494707","5727770913309640962486"
20890097,"4513776","1897248845889583"
20890752,"3750786","1575743333498168"
20895128,"12692058791536","5234873881426622557120"
20896598,"11985952","5000660646419767"
20896609,"23968654","9999708247652050"
20896642,"199856097","83500138022318370"
20896669,"25000778","10444702922935474"
20901722,"12335109225678","5148201754475220945053"
20909653,"12400343232180","5114472197872814259571"
20910465,"4832740","1938390121161689"
20913343,"46063473","18812246295510567"
20917999,"44798328","18428226029280318"
20919905,"533278829","219873258381003217"
20925739,"10886596477926","4451284334329828391630"
20933008,"5925089","2476178805353984"
20944771,"14726761729321","6000435248529265736138"
20949508,"4742913890","1932056799976972756"
20955765,"5847104","2373335770526329"
20959715,"12839502294400","5194984464923219318376"
20963710,"252625732","99483106442691209"
20966514,"1425989819200","544152007344474690643"
20974217,"686626","264967233280408"
20974843,"86178693","32945978349319571"
20975859,"7764969847580","2973392855988750750600"
20992394,"1453120617","553422962987811977"
20995043,"12327561428669","4652090141786999965165"
21000294,"103147012645","38983330304694968533"
21008104,"2093669593","775609055766719112"
21008955,"116271858","43076494815392267"
21009296,"12796158902847","4724686341017306748799"
21011693,"812768673","297297359208229345"
21012043,"104856005964","38359203778891614158"
21012186,"1273345080","465824752300477580"
21012833,"265292","97343070862599"
21017837,"53317698","20210359356089057"
21018762,"7764969847580","2938963795906840319753"
21021218,"60555693","23086997786776915"
21027820,"12305498333486","4768415217649671495487"
21030982,"1036556817","413543310891391488"
21038336,"223811895","87948183190505794"
21038728,"12303313274483","4852421451049655476502"
21046640,"10732081241061","4399733699170177058270"
21053056,"10759522110903","4324458546910561907666"
21053800,"91417821","36911788536444596"
21061692,"10879659133782","4392876587021357545502"
21070414,"17790704","6787091208109515"
21073190,"507790589","191221023018424403"
21074490,"12071123648597","4575467450779185062936"
21085375,"7764969847580","2947114353417929342414"
21091895,"143697435","57451665320399917"
21092065,"510977751266","204098133556419868045"
21094987,"11582457045803","4617778116610696607667"
21101785,"21212914","8543748165800296"
21102499,"11582247878684","4653590406866231085249"
21109084,"25276312","10432098416166721"
21109334,"11248901669112","4601041888521980554680"
21113464,"3390734384553","1381741840147206051305"
21117727,"10256617758498","4280684155196378557732"
21118175,"5518018097","2310697028507670470"
21120631,"2458039","1007737243490379"
21122661,"371375624908","151419886671413243389"
21124903,"71284707","29366116483799542"
21133693,"13154877122073","4627265232578145587854"
21140417,"259255734","89330433072797174"
21140457,"17487215628","6024857006755860443"
21146943,"7764969847580","2599138318527242147465"
21159226,"14738429","4564821168248502"
21164143,"44112166","13820614826678457"
21165151,"307849865","97126371174834587"
21170228,"4585711550","1361490291860736177"
21176682,"7764969847580","2443925019056365205602"
21181520,"406410512","128562383010896305"
21184454,"746293652","234264892195361852"
21189502,"57064543","18501494795735736"
21198204,"9959597020925","3175596570671127836881"
21200189,"2140631224","669771931970932490"
21201944,"4634001602","1462353043788206135"
21204208,"11889001","3815869950505700"
21208060,"70140048","22788412819443242"
21208080,"12631","4103559422506"
21210572,"35076143","11435957376011509"
21217852,"10094364780890","3202377106024053953330"
21228534,"6176346","1982202445304143"
21232551,"7764969847580","2520716250819086718649"
21233270,"60120019","19719186699961122"
21238485,"2148862854","640491374855484929"
21240291,"373480263","111955264390146007"
21247240,"637869177","191024499543006188"
21248627,"7764969847580","2318650169175653623571"
21251424,"4113619626","1184640928786431477"
21261319,"7764969847580","2315460527917757961449"
21268523,"7173888267","2089218944543406028"
21270591,"19564045","5760716339301950"
21271616,"11446587921997","3458151732011111080527"
21275057,"10149599151975","3043819742317830016815"
21279420,"235098607","67448539235512906"
21281860,"9602688082","2643912900860897176"
21286759,"284913269","79798767749983735"
21289279,"9408478484097","2624063463417529893253"
21302086,"35485818","9643100009743353"
21304582,"7764969847580","2091434928534170485158"
21312876,"23775429","6451549120865410"
21313455,"19951525","5446969352766016"
21327402,"253400122","68918108092782615"
21330101,"120146346","31267105416877443"
21332854,"7764969847580","2034415873809937710434"
21353589,"11144059946984","2778059149674003593248"
21354695,"4999835","1248792253007319"
21356694,"2290268721","578774511956657885"
21359860,"6924214512","1740477555295364477"
21361965,"738267249","186741237081248316"
21364298,"6385136516","1645160544199672108"
21365235,"701379266","181224214028266467"
21377101,"7764969847580","2116080714418120107209"
21383468,"11249349533","2944666467474443537"
21385314,"644320289266","164746622186758687877"
21389152,"1734838590","446520413132037582"
21390654,"161285636","41305786839232373"
21396348,"145993875760","37342716888669375447"
21396939,"7764969847580","1993540761767880270341"
21410647,"988841844","256498700365561060"
21413140,"7764969847580","1958541446114707892889"
21417065,"85193515464","20930531659245473694"
21419212,"650984","162691943036728"
21429591,"309776677","80171229408588775"
21433125,"7764969847580","2131657666046182981991"
21448025,"8659394095842","2488068974825651097644"
21450704,"7417684","2155777881111686"
21452997,"20142101284674","6045502152291914942185"
21453077,"193504634853","58005336534241082927"
21454965,"587918","175323660710789"
21459821,"8389923335110","2534091715953537794179"
21469805,"8138102991333","2404410032318987476279"
21471647,"8639502042","2541914498506634292"
21475234,"224871677","64604455542208515"
21476347,"9047524840919","2603550853370979333006"
21477366,"370144537","106271503401704682"
21483482,"6572416","1892155611332395"
21483800,"6566263","1894735787027661"
21486242,"8658547975151","2573693466431451927514"
21496330,"8226176847586","2462694607122646911624"
21503279,"1708402","503728034622380"
21504206,"7821234623202","2296230041632277432063"
21506374,"263828176","78062069106432452"
21507999,"80849209322","23783347334983089121"
21511377,"8061401171285","2422844792099895659239"
21518399,"52414680","15635449536041213"
21519294,"8180920718131","2457572892291335117301"
21523837,"7605102279","2238171881634617819"
